Timestamp,Rainfall_mm
2025-02-07 00:00:00,0.07
2025-02-07 00:30:00,1.19
2025-02-07 01:00:00,1.55
2025-02-07 01:30:00,0.31
2025-02-07 02:00:00,0.22
2025-02-07 02:30:00,0.00
2025-02-07 03:00:00,0.00
2025-02-07 03:30:00,0.00
2025-02-07 04:00:00,0.00
2025-02-07 04:30:00,0.00
2025-02-07 05:00:00,0.00
2025-02-07 05:30:00,0.00
2025-02-07 06:00:00,0.00
2025-02-07 06:30:00,0.00
2025-02-07 07:00:00,0.00
2025-02-07 07:30:00,0.10
2025-02-07 08:00:00,0.16
2025-02-07 08:30:00,0.00
2025-02-07 09:00:00,0.00
2025-02-07 09:30:00,0.00
2025-02-07 10:00:00,2.41
2025-02-07 10:30:00,0.10
2025-02-07 11:00:00,5.69
2025-02-07 11:30:00,1.49
2025-02-07 12:00:00,0.00
2025-02-07 12:30:00,0.00
2025-02-07 13:00:00,0.00
2025-02-07 13:30:00,0.00
2025-02-07 14:00:00,0.00
2025-02-07 14:30:00,0.00
2025-02-07 15:00:00,0.00
2025-02-07 15:30:00,0.00
2025-02-07 16:00:00,0.05
2025-02-07 16:30:00,0.42
2025-02-07 17:00:00,0.00
2025-02-07 17:30:00,0.00
2025-02-07 18:00:00,0.00
2025-02-07 18:30:00,0.00
2025-02-07 19:00:00,0.00
2025-02-07 19:30:00,0.73
2025-02-07 20:00:00,7.03
2025-02-07 20:30:00,11.98
2025-02-07 21:00:00,19.83
2025-02-07 21:30:00,19.83
2025-02-07 22:00:00,19.37
2025-02-07 22:30:00,10.51
2025-02-07 23:00:00,13.17
2025-02-07 23:30:00,14.54
2025-02-08 00:00:00,10.14
2025-02-08 00:30:00,12.67
2025-02-08 01:00:00,13.35
2025-02-08 01:30:00,19.77
2025-02-08 02:00:00,23.39
2025-02-08 02:30:00,11.24
2025-02-08 03:00:00,7.61
2025-02-08 03:30:00,4.16
2025-02-08 04:00:00,3.65
2025-02-08 04:30:00,3.90
2025-02-08 05:00:00,1.73
2025-02-08 05:30:00,1.22
2025-02-08 06:00:00,4.11
2025-02-08 06:30:00,1.87
2025-02-08 07:00:00,4.97
2025-02-08 07:30:00,7.86
2025-02-08 08:00:00,5.87
2025-02-08 08:30:00,7.65
2025-02-08 09:00:00,19.69
2025-02-08 09:30:00,11.71
2025-02-08 10:00:00,8.83
2025-02-08 10:30:00,8.88
2025-02-08 11:00:00,14.85
2025-02-08 11:30:00,2.65
2025-02-08 12:00:00,5.97
2025-02-08 12:30:00,0.08
2025-02-08 13:00:00,0.00
2025-02-08 13:30:00,0.00
2025-02-08 14:00:00,0.00
2025-02-08 14:30:00,0.13
2025-02-08 15:00:00,2.53
2025-02-08 15:30:00,4.43
2025-02-08 16:00:00,9.47
2025-02-08 16:30:00,4.99
2025-02-08 17:00:00,3.65
2025-02-08 17:30:00,0.72
2025-02-08 18:00:00,0.01
2025-02-08 18:30:00,1.91
2025-02-08 19:00:00,3.37
2025-02-08 19:30:00,1.88
2025-02-08 20:00:00,1.42
2025-02-08 20:30:00,8.87
2025-02-08 21:00:00,3.61
2025-02-08 21:30:00,7.86
2025-02-08 22:00:00,6.25
2025-02-08 22:30:00,3.84
2025-02-08 23:00:00,3.26
2025-02-08 23:30:00,10.50
2025-02-09 00:00:00,11.65
2025-02-09 00:30:00,11.07
2025-02-09 01:00:00,8.99
2025-02-09 01:30:00,17.02
2025-02-09 02:00:00,19.31
2025-02-09 02:30:00,35.29
2025-02-09 03:00:00,27.04
2025-02-09 03:30:00,19.19
2025-02-09 04:00:00,15.59
2025-02-09 04:30:00,8.06
2025-02-09 05:00:00,6.44
2025-02-09 05:30:00,5.58
2025-02-09 06:00:00,6.26
2025-02-09 06:30:00,7.66
2025-02-09 07:00:00,6.33
2025-02-09 07:30:00,6.27
2025-02-09 08:00:00,6.21
2025-02-09 08:30:00,6.43
2025-02-09 09:00:00,4.93
2025-02-09 09:30:00,9.36
2025-02-09 10:00:00,7.90
2025-02-09 10:30:00,7.02
2025-02-09 11:00:00,9.22
2025-02-09 11:30:00,7.72
2025-02-09 12:00:00,6.37
2025-02-09 12:30:00,7.84
2025-02-09 13:00:00,7.14
2025-02-09 13:30:00,4.75
2025-02-09 14:00:00,5.09
2025-02-09 14:30:00,11.22
2025-02-09 15:00:00,13.50
2025-02-09 15:30:00,27.25
2025-02-09 16:00:00,21.38
2025-02-09 16:30:00,12.71
2025-02-09 17:00:00,7.28
2025-02-09 17:30:00,8.07
2025-02-09 18:00:00,9.66
2025-02-09 18:30:00,11.51
2025-02-09 19:00:00,8.94
2025-02-09 19:30:00,5.48
2025-02-09 20:00:00,5.82
2025-02-09 20:30:00,9.22
2025-02-09 21:00:00,6.56
2025-02-09 21:30:00,9.80
2025-02-09 22:00:00,3.57
2025-02-09 22:30:00,4.17
2025-02-09 23:00:00,7.85
2025-02-09 23:30:00,3.75
