20250214,20250213,20250212,20250211,20250210,20250209,20250208,20250207,20250206,20250205,20250204,lat,lon
10.4,28.3,3.5,1.2,2.2,0.4,T,19,11.5,3,3.2,20.786967,121.838378
1.3,12.7,T,1.6,2.2,5.2,13.9,55.2,7.3,17.2,16.3,19.263,121.467
0.1,31.1,0,1.1,0.4,0.9,5.5,34.2,6.7,1,1.6,20.427284,121.970536
0,0,T,0,0,0,0,0,0,0,0,17.89012898,120.4597325
0,0.2,1,T,0,0,T,0,0,0,T,18.18308177,120.5347486
0,1.2,0.1,T,T,4.8,9.4,16,0.6,2.1,8.8,18.3601723,121.6303974
0,0.9,7.4,3.6,T,T,T,1.6,1.7,0.5,T,17.64773516,121.7584952
0.2,0,0,3.4,5.8,0,0.4,0,0,0,0,15.32615959,119.9690255
0,0,0,0.3,T,0,0,0,0,0,0,16.08682444,120.3520513
12.2,T,1.7,6.9,1.4,0,0.1,0,T,0,0,15.18560202,120.5488784
3.6,0.2,4.6,6,0.6,0,0.2,0,0,0,0,16.40400239,120.6015415
1.6,0,T,24.9,2,T,0,0.1,0,0,0,15.73585833,120.9367718
33.4,0,0,0.2,6.2,0,0.1,0.5,0.8,0,T,15.061722,120.978333
6.2,36,27.2,114.5,23.8,0.5,2.6,2.4,28.5,0,0,15.74899024,121.6320783
12,77.5,30,90.5,32,2,8.5,9.5,37,1.5,0.5,16.26508205,122.1288333
0.2,0,0,3.4,2.6,0,1,5.6,T,0,0,14.74124929,120.45188
T,0,0,0.5,T,0,T,T,T,0,T,14.79193375,120.2706137
0,1.5,0,45,15.5,6.5,39.5,6.5,64.5,3,31.9,14.01836036,121.5965699
1.4,0,0,0.2,3.7,0,2.6,1.4,0.8,0,1.7,14.494953,120.906838
0.5,T,0,0.5,7.5,0,2.5,2,T,0,2.5,14.5047,121.004751
5.9,42.6,0,0.1,4.7,T,0.8,1.9,T,0,0,14.6450821,121.0443311
8.4,0,2,3.7,29,0.4,44.6,7,46.4,0,5.4,13.41458925,121.1867739
0,0,0,14.6,12.8,T,5.4,6.3,56.2,0.4,0.4,14.08766485,121.0623871
1,4.8,0,15.9,14.2,1.5,8.6,8.4,6.7,0,3.4,14.58122032,121.369272
0.5,1,11.2,51.4,44.9,12.5,19.1,43.9,10.4,11.4,23.1,14.74828865,121.6778892
38.6,6.8,0,12.6,29.4,37.6,40.4,17.6,25.7,31.2,27,14.10543549,122.0176846
40.6,8.6,0,T,4.2,7.8,52.8,1.2,18,0,0,13.52633632,122.4088869
0,T,19.8,5.6,88.4,33.2,45.5,65.1,13,23.5,3.6,14.12861129,122.982632
0,0.2,7.7,19.4,58.8,86.8,20.1,4.1,126.4,9.8,0,13.15064051,123.7284199
9.6,25.6,13.8,32.3,178.8,79,14.9,18.3,34,27.2,0.2,13.57790529,124.2078775
0.4,0,0,0,0,0,9.5,0,2.1,0,0,12.003544,120.200018
0,0,0,0,0,0,T,T,4.9,0,0,12.3596836,121.0479025
28.5,0,0,0,5,4.3,26.5,3.5,71,7.5,0,12.578649,122.270347
6.5,3.5,0,0,1,15,T,5.5,17,0,0,11.60024939,122.7496963
0,0,0,1.4,3,31.2,14.6,T,146.4,6.2,0,12.36632,123.629218
0,0,5.8,3.8,58.8,245.4,39.4,4,168.8,26.6,0,12.83942136,123.9969888
0.4,0,1.1,7.4,43.4,197.3,50.3,1.5,145.8,58.7,0,12.5053993,124.6284982
3.8,1.6,8.8,3.1,29,129.9,14.4,9.2,142.3,19.8,0,11.7750644,124.8842425
1.9,0.3,21.9,13.8,7.8,171.3,3.4,21.7,54.2,4.2,T,11.22997918,125.0252252
16.8,5.4,49.4,14.6,72.6,125,28.6,15.6,133.8,75,1.2,11.6606324,125.4433239
5.8,3.2,92.8,1,18.5,60.7,15.9,7.9,74.4,14.8,0.1,11.0456164,125.755601
0,0,0,0,0,0,0,0,0,0,0,11.0521,114.285
0,T,3.6,7,123.2,352,141.4,42.4,0.1,0,0,9.740134,118.758613
0,0,0,0,0,0,5,T,0,0,0,10.85411,121.008167
1.4,T,0,0,0,0,0,T,1,0,T,9.335443,123.303342
0,0,0,0,0,0,0,1,0,0,0,9.20739249,123.4834028
0,T,0,T,0.5,0.3,0,4,26.8,1.6,0,9.570112,123.774904
0,0.4,2.2,2.9,0,1,0,0.2,3,12.6,0,10.322329,123.980118
0,0,1,0,T,1.4,0,5.2,19.9,T,0,10.1349829,124.8609813
0.9,0.6,2.4,5.8,1.7,16.5,3.6,14.2,11.5,0.8,16.6,9.782797,125.48935
36.3,0,T,0,0.1,2.6,25.7,6.5,T,0.4,0.1,8.5993394,123.343638
0,0,T,0,2,0,1.8,0.4,T,T,0,7.161722,124.214806
0,T,T,0,0,T,0.4,12.7,0.8,T,T,8.6054089,124.4567277
1.6,0,2.8,0.4,0,0,5.6,4.7,9.6,0.8,0.2,8.1514565,125.1338333
0,0.4,12.3,1.8,T,0.1,0.2,17.5,9.5,T,0,8.947081,125.482294
1.6,T,5.8,1.2,0,0,0,0,1.4,T,T,7.1279981,125.6548568
10.4,5.8,12.7,15.2,4.2,4.9,6.2,10.4,54,25.7,5.7,8.367467,126.338501
T,0.1,0,2.6,0,0.6,1.1,0.8,T,0.6,1.2,6.9194948,122.0637038
8.8,0,1.4,0.8,0,T,5.6,0,T,T,0,6.0572773,125.1035183
